Palabra,Descripción,Categoría,Sinónimos,Antónimos
TROMPETA,"Instrumento musical de viento, que consiste en un tubo largo de metal que se ensancha en un extremo.",sust. f.,"Trompeta, corneta, clarín.",
TRUENO,Gran ruido producido en las nubes por una descarga eléctrica.,sust. m.,"Trueno, estruendo, estallido.",
TUCÁN,Ave trepadora con pico arqueado tan grande como su cuerpo. En general sus plumas son negras y su cuello colorido.,sust. m.,Tucán.,
TUERCA,Pieza de metal con un hueco en el que se ajusta un tornillo.,sust. f.,Tuerca.,
TUERTO/A,Persona que no ve por un ojo o que le falta.,adj.,Tuerto.,
TUMBA,Lugar donde se da sepultura al cadáver de una persona.,sust. f.,"Tumba, sepulcro, nicho, panteón.",
TÚNEL,"Paso subterráneo, abierto artificialmente para establecer una comunicación a través de un cerro, por debajo de un río u otro obstáculo",sust. m.,"Túnel, conducto, paso.",
TURRÓN,"Masa hecha de almendras, nueces y azúcar o miel.",sust. m.,"Turrón, dulce, golosina.",
ÚLCERA,"Enfermedad que afecta los tejidos del cuerpo, especialmente del sistema digestivo.",sust. f.,"Úlcera, llaga, herida, lesión.",
ÚLTIMO/A,Lo que en una serie está o se considera al final.,adj.,"Último, final, remoto.",
ÚNICO/A,Solo y sin ningún otro de su especie.,adj.,"Único, solo, especial, exclusivo.",
UNIFORME,"Vestimenta idéntica que ocupa un grupo de personas, ya sea en escuelas o instituciones.",sust. m.,Uniforme.,
UNIÓN,Vinculación entre personas o cosas.,sust. f.,"Unión, vinculación, relación.",
UNIVERSAL,"Que comprende a todos en su especie, sin excepción.",adj.,"Universal, mundial, general.",Local.
UNIVERSIDAD,Institución de enseñanza superior que comprende diversas facultades y que confiere grados académicos y títulos profesionales.,sust. f.,Universidad.,
UNIVERSO,Todo lo que existe físicamente.,sust. m.,"Universo, cosmos, mundo.",
URGENTE,Necesidad apremiante que se tiene de algo.,adj.,"Urgente, perentorio, imperioso.",
URUGUAY,"País de América del Sur, su capital es Montevideo. Limita al noreste y al sureste con el océano Atlántico, al sur con el río de la Plata y al oeste con Argentina",sust. p.,Uruguay.,
USAR,Verbo pleno Ocupar algo habitualmente.,v. tr.,"Usar, utilizar, emplear.",
ÚTIL,"Que produce provecho, lucro o interés.",adj.,"Útil, provechoso, beneficioso, valioso.","Inservible, inútil."
UVA,"Fruto de la vid, que es un grano redondo y jugoso que se agrupa en un racimo.",sust. f.,"Uva, parra.",
VACA,"Hembra del toro, que tiene ubres y da leche.",sust. f.,Vaca.,
VACÍO/A,Recipiente o lugar que no tiene nada adentro. Falto de contenido físico.,adj.,"Vacío, desocupado.","Lleno, ocupado."
VACUNA,"Preparación que se hace con un virus o principio orgánico, que se inyecta a las personas para impedir que tengan una determinada enfermedad.",sust. f.,"Vacuna, inoculación.",
VAGABUNDO/A,Persona que va de un lugar a otro sin oficio y sin domicilio determinado.,adj.,"Vagabundo, vago.",
VALDIVIA,Ciudad ubicada en la región de Los Lagos. Es un centro agropecuario e industrial que posee puerto pesquero y comercial.,sust. p.,Valdivia.,
VALIENTE,"Fuerte, esforzado, animoso y de valor.",adj.,"Valiente, valeroso, osado.",
VALIOSO/A,"Algo que cuesta mucho dinero, que tiene un precio muy alto.",adj.,"Valioso, caro, costoso.",
VALOR,Precio que por su calidad cuesta un objeto o bien.,sust. m.,"Valor, precio, costo.",
VALPARAÍSO,Capital de la Quinta Región. Es puerto marítimo y una de las principales ciudades de Chile. Se encuentra situada en el litoral central del país.,sust. p.,Valparaíso.,
VANIDOSO/A,"Persona presumida, que se ve a sí misma muy valiosa, y lo demuestra.",adj.,"Vanidoso, arrogante, pretencioso.","Modesto, natural, sencillo."
VAPOR,Fluido gaseoso que sale de líquidos muy calientes.,sust. m.,"Vapor, vaho, gas.",
VASO,Recipiente de forma cilíndrica que sirve para beber.,sust. m.,"Vaso, vasija, copa.",
VATICANO,"Ciudad estado ubicada en Roma, capital de Italia. Es residencia del Papa",sust. p.,"Vaticano, Santa Sede.",
VECES,Tiempo y ocasiones en que se realiza algo en orden o por turno.,sust. f.,Veces.,
VECINO/A,Persona que habita en una vivienda inmediatamente al lado o cercana.,sust. m. y f.,Vecino.,
VELA,"Cilindro de cera sólida u otra materia grasa con pabilo en el eje, para que pueda encenderse y dar luz.",sust. f.,"Vela, cirio, candela.",
VELADOR,Mesa pequeña que se ubica al lado de la cama y sirve para colocar la lámpara u otros objetos.,sust. m.,"Velador, mesa de noche.",
VELERO,Embarcación que usa velas para navegar.,sust. m.,"Velero, barco, nave.",
VELOCIDAD,Movimiento o desplazamiento que se realiza con mucha rapidez.,sust. f.,"Velocidad, rapidez, aceleración.",
VELOCÍMETRO,Aparato que sirve para medir la velocidad a la que se desplaza un vehículo.,sust. m.,Velocímetro.,
VELATORIO,"Acto en el cual se vela a una persona que recién ha fallecido, al que acuden amigos para acompañar a sus familiares. Se realiza inmediatamente después del fallecimiento y antes del entierro.",sust. m.,"Velatorio, velorio.",
VELOZ,Ágil y rápido en lo que hace o dice.,adj.,"Veloz, acelerado, rápido.","Lento, demoroso."
VENA,Conducto por donde vuelve al corazón la sangre que ha pasado por las arterias.,sust. f.,Vena.,
VENADO,"Mamífero rumiante, con patas delgadas y cuello largo, de color rojizo en verano y gris en invierno. El macho tiene cuernos o astas que se renuevan anualmente.",sust. m.,"Venado, ciervo.",
VENCER,"Verbo pleno Ganar una competencia, salir preferido en lugar de otros.",v. tr.,"Vencer, triunfar, ganar.","Perder, derrotar."
VENDA,Tira larga de gasa que sirve para sujetar un parche que cubre una herida.,sust. f.,"Venda, vendaje, gasa.",
VENDER,Verbo pleno Traspasar a un comprador un bien a cambio de un precio convenido.,v. tr.,Vender.,Comprar.
VENECIA,"Ciudad de Italia, ubicada en una laguna en el mar Adriático. Se caracteriza por sus canales que forman calles. El medio de transporte más conocido son embarcaciones pequeñas llamadas góndolas.",sust. p.,Venecia.,
VENENO,"Sustancia tóxica que en pequeña cantidad, introducida en el cuerpo causa la muerte o graves trastornos.",sust. m.,"Veneno, toxina, pócima.",
VENEZUELA,"País de América del Sur. Su capital es Caracas. Comparte fronteras con Colombia, Brasil y Guyana. Posee uno de los yacimientos de petróleo más grande del mundo.",sust. p.,Venezuela.,
VENGANZA,"Consiste en obligar a quien haya hecho algo malo a sufrir el mismo dolor que causó, por rencor.",sust. f.,"Venganza, desquite, revancha.","Perdón, indulto."
VENIR,Verbo pleno Llegar una persona al lugar donde uno está.,v. intr.,"Venir, llegar, arribar.","Ir, alejarse."
VENTANA,Abertura más o menos elevada sobre el suelo que se abre en una pared para dar luz y ventilación a una habitación.,sust. f.,"Ventana, ventanal.",
VENTILADOR,Aparato eléctrico que sirve para impulsar o mover el aire en una habitación.,sust. m.,Ventilador.,
VER,Verbo de concordancia Percibir mediante el sentido de la vista.,v. tr.,"Ver, mirar, percibir.","Cegarse, encandilarse."
VERANO,"La estación más calurosa del año, que en el hemisferio sur corresponde a los meses de diciembre, enero y febrero.",sust. m.,Verano.,
VERBO,"Clase de palabra, que en una oración significa acción, proceso o estado. Tiene variación de número, tiempo y modo.",sust. m.,Verbo.,
VERDAD,Conformidad entre lo que se dice con lo que se siente o piensa.,sust. f.,"Verdad, certeza, autenticidad.",Falso.
VERDADERO/A,Que contiene verdad.,adj.,"Verdadero, cierto.","Falso, engañoso."
VERDE,"De color semejante al pasto, lechuga, espinaca, etc. Es el cuarto color del espectro solar.",adj.,Verde.,
VEREDA,"Camino angosto a orilla de la calzada, por donde transitan los peatones.",sust. f.,"Vereda, sendero, acera.",
VÉRTIGO,Sensación de falta de estabilidad. La persona siente que las cosas dan vuelta a su alrededor.,sust. m.,"Vértigo, mareo, vahído.",
VESTIDO,"Traje entero, de mujer, que se utiliza como vestimenta de uso diario, fiesta, novia o etiqueta.",sust. m.,Vestido.,
VESTIRSE,Verbo pleno Cubrirse el cuerpo con la ropa.,v. intr.,"Vestirse, ponerse ropa.",
VESTÓN,Chaqueta que usan los hombres. Es abierta por delante y se cierra con botones.,sust. m.,"Vestón, chaqueta.",
VIAJAR-EN-AVIÓN,Verbo espacial locativo Trasladarse de un lugar a otro en avión.,v. intr.,"Viajar en avión, volar.",
VIAJAR-EN-BARCO,Verbo espacial locativo Trasladarse de un lugar a otro en barco o bote.,v. intr.,"Viajar en barco, navegar.",
VIAJAR-POR-TIERRA,"Verbo espacial locativo Trasladarse de un lugar a otro, generalmente distante, por cualquier medio de locomoción terrestre.",v. intr.,"Viajar, pasear, recorrer.",
VÍBORA,Culebra venenosa larga y delgada. Está cubierta de escamas; cuando muerde inyecta el veneno por dos dientes huecos.,sust. f.,"Víbora, serpiente, culebra, reptil.",
VICIO,Demasiado deseo por una cosa que produce necesidad de un uso excesivo.,sust. m.,"Vicio, avidez, ganas.",
VIDEO,Aparato que registra y reproduce electrónicamente imágenes y sonidos.,sust. m.,"Video, cinta de video.",
VIDRIO,"Sustancia dura, frágil, transparente por lo común, de brillo especial y que se fabrica de la arena.",sust. m.,"Vidrio, cristal.",
VIEJO/A,Algo o alguien que tiene mucho tiempo de existencia.,adj.,"Viejo, antiguo.","Nuevo, reciente."
VIEJO-PASCUERO,"Nombre con que se conoce al personaje legendario, que según la cultura occidental trae regalos a los niños por Navidad.",sust. p.,"Viejo Pascuero, Viejo de Pascua.",
VIENESA,Comida a base de carne molida de cerdo que tiene forma alargada y cilíndrica.,sust. f.,"Vienesa, salchicha, embutido.",
VIENTO,Corriente de aire producida en la atmósfera por causas naturales.,sust. m.,"Viento, brisa, ventisca.",
VIERNES,Quinto día de la semana civil.,sust. m.,Viernes.,
VIGILAR,Verbo pleno Atender cuidadosamente algo o alguien.,v. tr.,"Vigilar, cuidar, velar.",
VINAGRE,"Líquido agrio y astringente que se produce por la fermentación, generalmente del vino.",sust. m.,Vinagre.,
VINO,Licor alcohólico que se hace del zumo de las uvas exprimido y cocido naturalmente por la fermentación.,sust. m.,"Vino, mosto.",
1,"VIÑA DEL MAR Ciudad balneario de la Quinta Región de Valparaíso. Se encuentra al nordeste de Valparaíso, entre los cerros de la Cordillera de la Costa y el mar.",sust. p.,Viña del Mar.,
VIOLACIÓN,"Delito de forzar a tener relaciones sexuales con otra persona sin su consentimiento, empleando violencia en la acción.",sust. f.,"Violación, abuso sexual.",
VIOLÍN,"Instrumento de cuatro cuerdas, y caja de madera. Es el más pequeño de los instrumentos clásicos de cuerdas frotadas.",sust. m.,Violín.,
VIRAR,Verbo espacial locativo Cambiar la dirección de la marcha.,v. intr.,"Virar, voltear, girar, doblar.",
VIRUTILLA,Rejilla metálica que se ocupa para raspar y limpiar artefactos de la cocina.,sust. f.,Virutilla.,
VISA,Documento que legaliza la entrada o estancia de una persona en un país que no es de su nacionalidad.,sust. f.,Visa.,
VISITAR,Verbo pleno Acción de cortesía que se realiza yendo a casa o lugar de algún familiar o conocido.,v. tr.,Visitar.,
VITRINA,"Lugar rodeado por vidrios, donde se exhiben objetos que están a la venta en los negocios.",sust. f.,"Vitrina, vidriera.",
VIUDO/A,Estado civil de una persona a quien se le ha muerto su cónyuge y no ha vuelto a casarse.,sust. m.,y f. Viudo.,
VIVIR,Verbo pleno Habitar o residir en algún lugar o país.,v. intr.,"Vivir, habitar, morar, residir.",
VIVO/A,Mantenerse con vida.,adj.,"Vivo, estar vivo, vital.",Muerto.
VOCABULARIO,Conjunto de palabras que forman parte de un idioma específico.,sust. m.,"Vocabulario, léxico.",
VOLANTÍN,"Es un juego tradicional que consiste en un artefacto volador, generalmente de papel delgado, que sujeto a hilos, se hace volar con la fuerza del viento.",sust. m.,"Volantín, chonchón, cometa, barrilete.",
VOLAR,"Verbo pleno Desplazamiento a través del aire, por medio del movimiento de alas.",v. intr.,Volar.,
VOLCÁN,"Abertura en la tierra y más comúnmente en una montaña, por donde salen de tiempo en tiempo humo, llamas y materias encendidas o derretidas, haciendo erupción.",sust. m.,Volcán.,
VOLEIBOL,"Deporte que se disputa entre dos equipos de seis jugadores, lanzando un balón, que se golpea con la mano, por encima de una red.",sust. m.,Voleibol.,
VOLUNTAD,Capacidad para llevar a cabo acciones contrarias a nuestras necesidades inmediatas.,sust. f.,"Voluntad, esfuerzo, empeño.",
VOTAR,"Verbo pleno Derecho que ejerce una persona para elegir, aprobar o rechazar algo o a alguien.",v. intr.,"Votar, sufragar.",
VOZ,Sonido fundamental producido por el aparato fonador humano.,sust. f.,Voz.,
WASHINGTON,Ciudad capital de los Estados Unidos.,sust. p.,Washington.,
W.C.,Elemento sanitario utilizado para recoger y evacuar los excrementos humanos,sust. m.,"W.C., baño, water, inodoro.",
WHISKY,Bebida alcohólica que se obtiene del grano de algunas plantas.,sust. m.,Whisky.,
YA,Expresión que denota algo acabado o aceptado.,adv.,Ya.,
YEMA,Porción de color amarillo contenida dentro del huevo del ave.,sust. f.,Yema.,
YERNO,Marido de la hija.,sust. m.,Yerno.,
YESO,"Sulfato de cal molido, de color blanco, que se endurece cuando se mezcla con agua.",sust. m.,Yeso.,
YODO,Elemento químico que se suele usar para desinfectar heridas.,sust. m.,Yodo.,
YO-YO,"Juguete consistente en un disco de madera o plástico, con una ranura profunda en la cual se enrolla un hilo que anudado a un dedo se hace subir y bajar.",sust. m.,Yo-yo.,
YUNQUE,Bloque macizo de metal que se usa en la herrería como soporte para forjar metales.,sust. m.,Yunque.,
ZANAHORIA,"Hortaliza que se cultiva por su raíz grande, sabrosa y de color naranja.",sust. f.,Zanahoria.,
ZANCUDO,"Insecto de patas largas, que con sus alas produce un zumbido agudo y con su picadura ocasiona picazón y dolor.",sust. m.,"Zancudo, mosquito.",
ZAPALLITO-ITALIANO,"Fruto alargado, de cáscara verde y carne blanca, que se usa para preparar guisos variados.",sust. m.,"Zapallito italiano, calabacín.",
ZAPALLO,"Fruto redondo de gran tamaño con pulpa de color anaranjada, que se ocupa en diversas preparaciones alimenticias.",sust. m.,"Zapallo, calabaza.",
ZAPATERÍA,Establecimiento donde se vende calzado.,sust. f.,Zapatería.,
ZAPATILLA,Nombre que se da a diferentes tipos de zapatos especiales para practicar determinados deportes.,sust. f.,Zapatilla.,
ZAPATO,Calzado que cubre el pie.,sust. m.,"Zapato, calzado.",
ZOOLÓGICO,"Parque zoológico, lugar donde se mantienen animales en cautiverio.",sust. m.,Zoológico.,
ZORRO,"Mamífero carnívoro, parecido al perro, de un metro de longitud, hocico alargado y orejas puntiagudas. Es de color café rojizo y su pelo es muy abundante en la cola.",sust. m.,Zorro.,
ALCACHOFA,Vegetal con hojas espinosas y carnosas agrupadas en torno a un centro comestible.,sust. f.,Alcachofa.,
BACINICA,Recipiente que sirve para recibir desechos del cuerpo humano.,sust. f.,"Bacinica, pelela.",
BALCÓN,"Terraza abierta desde el suelo de la habitación, con barandas.",sust. m.,Balcón.,
BICHO,Expresión que se usa generalmente para referirse a animales pequeños o insectos.,sust. m.,"Bicho, bicharraco.",
BILINGÜE,Persona que habla dos lenguas. ,sust. m.,Bilingüe.,
BIOGRAFÍA,Historia de la vida de una persona.,sust. f.,"Biografía, semblanza, historia.",
BONDAD,Natural inclinación a hacer el bien.,sust. f.,"Bondad, piedad, compasión, ternura.","Maldad, crueldad, brutalidad."
CARABINERO,Policía encargado de velar por el mantenimiento del orden público y la seguridad de los ciudadanos.,sust. m.,"Carabinero, policía.",
CARTA,"Papel escrito que una persona envía a otra, en un sobre, para comunicarse con ella.",sust. f.,"Carta, misiva, epístola, correspondencia.",
CASA,Construcción para habitar.,sust. f.,"Casa, vivienda, morada, hogar, habitación.",
CENSURA,Juicio o reprobación que se hace a una obra o escrito.,sust. f.,"Censura, reparo, reproche, reprobación.",
CIGÜEÑA,"Ave como de un metro de altura, cuello y patas largas, plumaje blanco en el cuerpo y negro en sus alas. Anida en las torres y árboles elevados.",sust. f.,Cigüeña.,
CINTA-ADHESIVA,"Cinta plástica, generalmente transparente, con pegamento que se adhiere a una superficie.",sust. f.,"Cinta adhesiva, scotch, tela plástica, tela adhesiva, cinta de embalaje.",
COCINA,"Artefacto que se usa para calentar, hornear o preparar la comida.",sust. f.,Cocina.,
CONCEJAL,Persona que se desempeña como consejero de un alcalde en un municipio.,sust. m.,"Concejal, edil, regidor.",
CONGRESO,"Reunión de personas para tratar temas de interés común, científicos, económicos, culturales, etc",sust. m.,"Congreso, parlamento, senaduría.",
CONGRESO,Edificio donde funcionan las dos cámaras legislativas de un país.,sust. m.,"Congreso, parlamento, senaduría.",
CORBATA,"Prenda de tela que se anuda alrededor del cuello, dejando caer los extremos. Generalmente la ocupan los hombres, encima de la camisa.",sust. f.,Corbata.,
CURA,Sacerdote encargado de la instrucción y doctrina espiritual de una iglesia.,sust. m.,"Cura, sacerdote católico, clérigo.",
CHALA,"Calzado cubierto con correas, que se usa en temporadas de calor.",sust. f.,"Chala, sandalia, ojota.",
